"","10","11","23","14","201","204"
"BB0",13554,2229,4070,4900,8742,149
"BB1",13386,2001,3764,4849,8738,96
"BB2",13425,2077,3894,4827,8630,36
"BB3",13295,1945,3898,4732,8517,NA
"BB4",13248,1836,3620,4776,8644,0
"BB5",NA,1754,3536,4683,8531,NA
"BB6",0,NA,1303,3709,107,NA
"BB7",NA,NA,1365,3542,0,NA
"BI0",14608,5959,13991,5290,8746,147
"BI1",13390,3308,7979,5072,8741,100
"BI2",14354,5202,13490,5126,8633,34
"BI3",13250,2589,6688,4928,8646,0
"BI4",3,0,6022,3965,116,NA
"ZB2",NA,1988,523,111,NA,NA
"ZB3",NA,1394,0,0,NA,NA
"GB",NA,NA,NA,NA,NA,NA
